Date,Series,p2_5,p16,p50,p84,p97_5
1960-01-01,Pi_bar,0.9259032527643349,1.3789073283398443,1.8379625749817017,2.312672251198495,2.7700673052569584
1960-04-01,Pi_bar,0.9187536249108001,1.3825166554529271,1.8368617533015348,2.3025810279098216,2.7537483666475033
1960-07-01,Pi_bar,0.9075832350801283,1.3690379595344262,1.818986886835798,2.283918220852905,2.7255123098929817
1960-10-01,Pi_bar,0.9168915794219284,1.369361911395196,1.826111369816355,2.288609088439297,2.716159067742995
1961-01-01,Pi_bar,0.9251585981962193,1.3775305471758907,1.8177283468934287,2.274813259887807,2.7192165235180976
1961-04-01,Pi_bar,0.9521820861244741,1.3813826644775669,1.8257680233027944,2.283493597647541,2.728594705563666
1961-07-01,Pi_bar,0.9698531826314363,1.4058300410164366,1.8395920457930972,2.297851498105335,2.73658189827719
1961-10-01,Pi_bar,0.9796991590396497,1.4125837825931635,1.8479799750632897,2.2998181848437755,2.731236193541668
1962-01-01,Pi_bar,1.0027852604868526,1.4147811071108691,1.8601604752381327,2.311743598998361,2.743893956344259
1962-04-01,Pi_bar,1.002864438743211,1.4099922506075988,1.8501033008342087,2.3005907543114805,2.723389210745805
1962-07-01,Pi_bar,1.013866868333029,1.4281005458542626,1.862282338222479,2.3083355780885704,2.7201448835790254
1962-10-01,Pi_bar,1.021062233960131,1.4307311366409217,1.862622969610873,2.3087401815520114,2.721594064526161
1963-01-01,Pi_bar,1.0287790867017383,1.4387385788138558,1.874810106437428,2.303539155386957,2.738111310944709
1963-04-01,Pi_bar,1.0467065176005754,1.454629714940084,1.88440506637293,2.3137153075882355,2.7540567625164885
1963-07-01,Pi_bar,1.0653527282283188,1.4807550574961228,1.8970308572358043,2.330357680982687,2.762081067175783
1963-10-01,Pi_bar,1.0867837059666727,1.5009372087344448,1.9215396448542434,2.3441030383222614,2.774396485985033
1964-01-01,Pi_bar,1.090328516418716,1.5148438038554384,1.940327038429897,2.35354647302488,2.7652078728252625
1964-04-01,Pi_bar,1.1417041894966573,1.5417616229288569,1.9579971156115483,2.3622325350261044,2.7693556876289085
1964-07-01,Pi_bar,1.1654681626382375,1.556698051322313,1.9690549052456534,2.382238148005609,2.7726980641402696
1964-10-01,Pi_bar,1.1863868867920262,1.5784239004428104,1.9881331268222435,2.394692455917745,2.8007515861400183
1965-01-01,Pi_bar,1.2449256559885933,1.599241712011292,2.007573460615822,2.424769592578127,2.8062490755927563
1965-04-01,Pi_bar,1.257482098925991,1.632675669813412,2.031398722284241,2.4512149452808982,2.848950839352035
